Date,Close,Volume,Sentiment
2022-04-27,188.539993,22298400,0
2022-04-28,199.520004,21363200,0
2022-04-29,190.360001,16391900,2
2022-05-02,199.460007,14591600,1
2022-05-03,199.869995,11839400,2
2022-05-04,204.009995,12218800,0
2022-05-05,188.320007,13971300,0
2022-05-06,180.970001,17185500,0
2022-05-09,173.100006,14031300,0
2022-05-10,177.660004,13883900,0
2022-05-11,166.369995,12665500,2
2022-05-12,174.309998,17662100,2
2022-05-13,187.639999,13136300,2
2022-05-16,186.509995,16145000,1
2022-05-17,190.559998,9876700,2
2022-05-18,177.190002,9665600,0
2022-05-19,183.479996,10448500,1
2022-05-20,186.350006,10429400,1
2022-05-23,187.440002,9602000,1
2022-05-24,180.339996,7706400,1
2022-05-25,187.830002,8522100,1
2022-05-26,191.399994,8049900,1
2022-05-27,195.190002,8586000,1
2022-05-31,197.440002,11398500,1
2022-06-01,192.910004,8416200,1
2022-06-02,205.089996,9623100,1
2022-06-03,198.979996,7191800,1
2022-06-06,197.139999,5372000,1
2022-06-07,198.610001,4839500,1
2022-06-08,202.830002,7244100,1
2022-06-09,192.770004,6949000,0
2022-06-10,182.940002,13065600,0
2022-06-13,169.690002,10222400,0
2022-06-14,167.539993,11555300,1
2022-06-15,180.110001,12396000,1
2022-06-16,173.350006,8201300,0
2022-06-17,175.509995,12133400,1
2022-06-21,170.910004,12177600,1
2022-06-22,178.889999,11992400,2
2022-06-23,181.710007,9538200,2
2022-06-24,190.850006,12424000,1
2022-06-27,189.139999,8363900,0
2022-06-28,179.600006,7185400,0
2022-06-29,178.360001,5766800,1
2022-06-30,174.869995,7894700,1
2022-07-01,179.949997,5201600,1
2022-07-05,185.880005,7334300,1
2022-07-06,184.059998,5753400,1
2022-07-07,189.270004,6334500,1
2022-07-08,186.979996,5835700,1
2022-07-11,177.339996,6038800,0
2022-07-12,174.449997,6845300,0
2022-07-13,176.559998,12734400,0
2022-07-14,174.779999,9039500,2
2022-07-15,189.110001,16319100,2
2022-07-18,190.919998,16322800,2
2022-07-19,201.630005,28178700,2
2022-07-20,216.440002,53920300,2
2022-07-21,223.880005,23430100,2
2022-07-22,220.440002,17805500,2
2022-07-25,218.509995,10935200,2
2022-07-26,213.910004,9508500,2
2022-07-27,226.750000,10508400,1
2022-07-28,226.020004,8972700,1
2022-07-29,224.899994,9064900,1
2022-08-01,226.210007,5525000,1
